program,url,statusCode,requirement,status,evidence
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,Secure relationships,Present,"s - 15 Months (Non-Walkers) The Foundation Phase A peaceful, ""shoeless"" environment where emotional security and sensory discovery lay the groundwork for all future learning. View Curriculum View Lesson Plan View Locations All Programs Prismpath five-pillar development chart Radar chart showing the balance ac"
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,Responsive caregiving,Present,"t so children can feel known, safe, and ready for what comes next. Ask About This Program Responsive care from the very beginning Responsive caregiving follows each baby's cues. Songs, stories, conversation, and the sounds of language offer gentle language exposure, while safe movement and sensory exploration"
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,Sensory exploration,Present,"ers) The Foundation Phase A peaceful, ""shoeless"" environment where emotional security and sensory discovery lay the groundwork for all future learning. View Curriculum View Lesson Plan View Locations All Programs Prismpath five-pillar development chart Radar chart showing the balance across physical, emotiona"
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,Language exposure,Present,"m Responsive care from the very beginning Responsive caregiving follows each baby's cues. Songs, stories, conversation, and the sounds of language offer gentle language exposure, while safe movement and sensory exploration happen within individual feeding and rest routines. Teacher and family partnership Fami"
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,Safe movement,Present,"t any other time. Our infant curriculum is heavily weighted towards Physical development (motor skills, sensory processing) and Emotional security (attachment, regulation). High Physical: Tummy time, rolling, reaching. High Emotional: Responsive feeding, cuddling. Emerging Social: Face recognition, babbling. "
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,Individual feeding and rest routines,Present,"nt, regulation). High Physical: Tummy time, rolling, reaching. High Emotional: Responsive feeding, cuddling. Emerging Social: Face recognition, babbling. Sample Day The Nurturing Nest Slide through a sample Infant Care day built from this program schedule. Infant Care 6:00am Morning Welcome Gentle arrivals wi"
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,Family communication,Present,"t and sensory exploration happen within individual feeding and rest routines. Teacher and family partnership Families stay close to the learning. Teachers share observations, celebrate growth, and help parents understand what support comes next. Classroom environment Each classroom is arranged for age-appropr"
infant-care,https://x3yyntt5tp-staging.wpdns.site/programs/infant-care/?codex_program_audit=20260718,200,No unapproved future grade expansion claim,Present,No future expansion claim found.
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,Independence,Present,"ldren can feel known, safe, and ready for what comes next. Ask About This Program Growing independence with steady support Toddlers build independence through hands-on exploration, predictable routines, movement, early peer interaction, language growth, and warm guidance that supports emotional regulation. Te"
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,Language growth,Present,"nd language explodes. High Physical: Walking, climbing, carrying objects. Language Burst: Vocabulary expansion & signing. Social Awareness: Parallel play and empathy building. Sample Day Rhythm not a routine Slide through a sample Toddlers day built from this program schedule. Toddlers 6:30am Morning Welcome "
