ID	post_title	post_name	age_range	hero_description	hero_image	locations_served	cta_link	prism_description	schedule_items	meta_title	meta_description
4219	Infant Care	infant-care	6 Weeks - 15 Months (Non-Walkers)	A peaceful, "shoeless" environment where emotional security and sensory discovery lay the groundwork for all future learning.		a:19:{i:0;i:4406;i:1;i:4289;i:2;i:4410;i:3;i:4237;i:4;i:4414;i:5;i:4288;i:6;i:4407;i:7;i:4408;i:8;i:4336;i:9;i:4417;i:10;i:4419;i:11;i:4415;i:12;i:4409;i:13;i:4413;i:14;i:4420;i:15;i:4416;i:16;i:4290;i:17;i:4287;i:18;i:4411;}	/infant-care/	In the first year, the brain grows faster than at any other time. Our infant curriculum is heavily weighted towards Physical development (motor skills, sensory processing) and Emotional security (attachment, regulation).	6:00am | Morning Welcome | Gentle arrivals with cozy, child-led play
\n7:30am | Care & Freshen Up | Loving diapering and happy handwashing
\n8:00am | Breakfast & Personal Care | Warm breakfast with attentive, nurturing care
\n8:30am | Play & Tummy Time | Sweet floor play, tummy time, and soft exploration
\n9:00am | Outdoor Adventures | Fresh air, movement, and early motor fun
\n9:30am | Care & Music | Diapering with joyful songs and sing-along moments
\n9:45am | Circle & Story | Snuggly stories, early language play, and warm literacy time
\n10:00am | Individual Play | Gentle floor play, one-on-one nurturing, and tummy time
\n10:30am | Lunch & Rest Prep | Lunch with care, diapering, and peaceful winding down
\n11:00am | Rest Time | Cozy naps, soft cuddles, and calm individualized play as babies wake
\n2:00pm | Snack & Music | Tasty snack with cheerful songs and sweet together time
\n2:15pm | Art & Sensory | Simple art moments and sensory discovery
\n2:30pm | Outdoor/Sensory Time | Fresh air or sensory exploring tailored to each little one
\n3:00pm | Afternoon Play | Floor time, tummy time, and playful gentle exploration
\n4:00pm | Care & Music | Caring diaper changes with soft music and happy singing
\n4:15pm | Story & Play | Cuddly stories and developmentally sweet games
\n4:30pm | Free Play | Calm exploring, warm interactions & cozy play
\n5:15pm | Care & Transition | Diapering and gentle preparation for going home
\n5:30pm | Music & Dismissal | Soft music, warm cuddles, and loving goodbyes
\nNotes | Flexible Care | This schedule adjusts lovingly to meet each baby’s unique needs throughout the day
\nNotes | Diaper Checks | Diapers are checked at least every 2 hours and always changed as needed
\nNotes | Handwashing | Handwashing happens gently and frequently during transitions and after diapering
\nNotes | Art Schedule | Art is offered 3x weekly for ages 12–23 months and daily for children 24 months+
\nNotes | Free Play | Free play is always available when babies are not eating, diapering, or sleeping		
