"programId","program","slug","requirement","evidenceField","evidenceValue","status","ownerGate","nextAction"
"4219","Infant Care","infant-care","Clear page title","post_title","Infant Care","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4219","Infant Care","infant-care","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4219","Infant Care","infant-care","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4219","Infant Care","infant-care","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4219","Infant Care","infant-care","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4219","Infant Care","infant-care","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"4219","Infant Care","infant-care","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"4219","Infant Care","infant-care","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","Clear page title","post_title","Toddlers","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4293","Toddlers","toddler-care","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4293","Toddlers","toddler-care","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4293","Toddlers","toddler-care","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4293","Toddlers","toddler-care","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4293","Toddlers","toddler-care","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"4293","Toddlers","toddler-care","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"4293","Toddlers","toddler-care","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","Clear page title","post_title","Preschool","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4322","Preschool","preschool","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4322","Preschool","preschool","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4322","Preschool","preschool","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4322","Preschool","preschool","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4322","Preschool","preschool","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"4322","Preschool","preschool","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"4322","Preschool","preschool","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","Clear page title","post_title","Pre-K Prep","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4323","Pre-K Prep","pre-k-prep","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4323","Pre-K Prep","pre-k-prep","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4323","Pre-K Prep","pre-k-prep","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4323","Pre-K Prep","pre-k-prep","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4323","Pre-K Prep","pre-k-prep","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"4323","Pre-K Prep","pre-k-prep","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"4323","Pre-K Prep","pre-k-prep","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","Clear page title","post_title","Pre-K / GA Pre-K","Present","No","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","Age range","age_range","yes","Present","Yes","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"4324","Pre-K / GA Pre-K","ga-pre-k","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4324","Pre-K / GA Pre-K","ga-pre-k","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
