"url","language","pageType","status","robots","title","wordCount","duplicateContentGroupSize","currentInventoryDisposition","proposedDisposition","rationale","approvalStatus","nextAction"
"https://x3yyntt5tp-staging.wpdns.site/es/","es","homepage","200","max-image-preview:large","Chroma Academy | Guardería y preescolar en Metro Atlanta","3784","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/2026/05/22/georgia-pre-k-parent-guide/","en","editorial-single","200","max-image-preview:large","Georgia Pre-K Parent Guide: Everything You Need to Know for 2026 | Chroma Early Learning Academy","2787","1","Improve","Improve","Indexable page has thin-content, technical, or image-accessibility signals that need review.","Editorial or technical review required","Resolve the listed content and technical issues, then recrawl."
"https://x3yyntt5tp-staging.wpdns.site/locations/parklake-campus/","en","location-single","200","max-image-preview:large","Parklake Campus, Atlanta GA | Chroma Early Learning Academy","1341","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/es/locations/parklake-campus/","es","location-single","200","max-image-preview:large","Campus Parklake, Atlanta GA | Campus de Chroma","1388","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/","en","homepage","200","max-image-preview:large","Chroma Early Learning Academy | Daycare & Preschool in Metro Atl…","6191","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/programs/rising-kindergarten/","en","program-single","200","max-image-preview:large","Rising Kindergarten | Chroma Early Learning Academy","889","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-kindergarten/","es","program-single","200","max-image-preview:large","Kindergarten en ascenso | Programa de Chroma","891","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/programs/rising-pre-k/","en","program-single","200","max-image-preview:large","Rising Pre-K | Chroma Early Learning Academy","883","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/es/programs/rising-pre-k/","es","program-single","200","max-image-preview:large","Pre-K en ascenso | Programa de Chroma","885","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
"https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/","en","program-single","200","max-image-preview:large","Kindergarten | Chroma Early Learning Academy","809","1","Keep","Keep","Indexable page passed the automated availability and baseline content checks.","Human fact and editorial review required","Confirm facts, grammar, usefulness, and visual/mobile quality before final approval."
